feature,mean_abs_shap,mean_shap,std_shap,abs_mean_ratio,rank,importance_pct,cumulative_importance_pct
f0_m_plac_wt,133.0187290754927,0.3922290979052353,155.98744570769168,339.1352904513913,1,30.03458974215868,30.03458974215868
f0_m_GA_Del,102.16935035586984,-5.254964090229794,138.3911096280292,19.44244501002058,2,23.069041055262833,53.103630797421516
gestational_health_index,71.30475929081094,-2.595967869296975,79.64178615572933,27.467504560206486,3,16.100057539622465,69.20368833704399
f0_m_abd_cir_v2,26.95888619102001,-0.6455513067477843,32.22596107201938,41.76102798499438,4,6.087105870582336,75.29079420762632
f0_m_rcf_v2,21.426142004019486,1.7231795775602512,25.8712985447254,12.434073779537298,5,4.837855460810606,80.12864966843692
f0_m_fundal_ht_v2,17.875712508575475,0.36162285059407695,20.671214628592203,49.431921888414735,6,4.036196220452048,84.16484588888898
bmi_age_interaction,12.443711307223083,-0.08164918647759153,15.538151911590415,152.40459616089106,7,2.809692789728844,86.97453867861782
wt_ht_interaction,11.111577707191728,-1.537342029796094,14.101149462565939,7.227785028386128,8,2.508907430879268,89.48344610949708
f0_m_bi_v1,9.733156976862446,0.35261513480982587,12.319766276203852,27.602777116618952,9,2.1976707996524683,91.68111690914955
nutritional_status,8.93092378993211,-1.170883019400721,11.406894677632241,7.627511579884699,10,2.0165328139382717,93.69764972308782
f0_m_wt_prepreg_squared,8.004743990114982,0.6457778544536522,9.480620238084436,12.39550711389397,11,1.8074086514363523,95.50505837452417
f0_m_ht,7.530699282779634,-0.30333609427090724,11.009699435574069,24.826255175460247,12,1.7003730602589744,97.20543143478314
bmi_age_ratio,5.426805908794028,0.015663632357635984,6.940858137920625,346.45896623732847,13,1.225330374254649,98.43076180903779
f0_m_int_sin_ma,3.770809251087,0.3760649186963837,5.64031155311151,10.027016779857266,14,0.8514192673428622,99.28218107638065
f0_m_age,3.179113207334847,-0.31315657659977886,4.158223155561286,10.151832801463538,15,0.717818923619322,99.99999999999997
